"Órgão UGE Código,""Órgão UGE Nome"",""Órgão UGE CNPJ"",""Órgão UGE - Poder Código"",""Órgão UGE - Poder Nome"",""Órgão UGE - Tipo Administração Código"",""Órgão UGE - Tipo Administração Nome"""
"26210,""CENTRO FEDERAL DE EDUC.TECNOL.DO M. GROSSO"",""33710211000177"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26211,""CENTRO FEDERAL DE EDUC. TECNOL. DE OURO PRETO"",""23067283000194"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26212,""CENTRO FEDERAL DE EDUCACAO TECNOL.DO PARA"",""5200142000116"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26213,""CENTRO FEDERAL DE EDUCACAO TECNOL.DA PARAIBA"",""24489510000132"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26214,""CENTRO FEDERAL DE EDUCACAO TECNOL.DE PELOTAS"",""88288105000139"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26215,""CENTRO FED.DE EDUC. TECNOLOGICA DE PERNAMBUCO"",""10475689000164"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26216,""CENTRO FED. DE EDUC. TECNOLOG. DO PIAUI-CEFET"",""34982249000161"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26217,""CENT.FED.DE EDUC.TECNOL.DE QUIMICA-NILOP./RJ"",""32093114000110"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26218,""CENTRO FEDERAL DE EDUCACAO TECNOL.DO RN"",""24370371000123"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26219,""CENTRO FED.DE EDUC.TECNOLOGICA DE S.CATARINA"",""81531428000162"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26220,""CENTRO FEDERAL DE EDUCACAO TECNOL DE S.PAULO"",""39006291000160"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26221,""CENTRO FEDERAL DE EDUCACAO TEC. DE SERGIPE"",""13087077000192"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26222,""CENTRO FED.DE EDUC. TECNOLOGIA DE RORAIMA"",""84042415000118"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26223,""ESCOLA TECNICA  FEDERAL DE PALMAS - TO"",""5095151000194"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26224,""ESCOLA TECNICA FEDERAL DE RONDONIA"",""9328952000103"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26230,""FUND.UNIVERSIDADE FEDERAL VALE SAO FRANCISCO"",""5440725000114"",""0"",""PODER EXECUTIVO"",""4"",""FUNDACAO"""
"26231,""UNIVERSIDADE FEDERAL DE ALAGOAS"",""24464109000148"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26232,""UNIVERSIDADE FEDERAL DA BAHIA"",""15180714000104"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26233,""UNIVERSIDADE FEDERAL DO CEARA"",""7272636000131"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26234,""UNIVERSIDADE FEDERAL DO ESPIRITO SANTO"",""32479123000143"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26235,""UNIVERSIDADE FEDERAL DE GOIAS"",""1567601000143"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26236,""UNIVERSIDADE FEDERAL FLUMINENSE"",""28523215000106"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26237,""UNIVERSIDADE FEDERAL DE JUIZ DE FORA"",""21195755000169"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26238,""UNIVERSIDADE FEDERAL DE MINAS GERAIS"",""17217985000104"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
